"filename", "language", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\AddToScene.js", "JavaScript", 19, 0, 13, 9, 41
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\Althandtracking.js", "JavaScript", 451, 0, 220, 79, 750
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\BkColourSetter.js", "JavaScript", 22, 0, 4, 3, 29
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\ButtonFanOut.js", "JavaScript", 116, 0, 10, 25, 151
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\ChildWindowExtension.js", "JavaScript", 111, 0, 16, 36, 163
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\DrumImageHolder.js", "JavaScript", 102, 0, 23, 39, 164
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\EyeRayCast.js", "JavaScript", 121, 0, 17, 43, 181
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\FinalFingerTest.js", "JavaScript", 36, 0, 55, 9, 100
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\HelpPanel.js", "JavaScript", 61, 0, 4, 17, 82
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\LayerAnchorDataStorage.js", "JavaScript", 152, 0, 11, 37, 200
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\LayerManager.js", "JavaScript", 263, 0, 35, 74, 372
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\MaterialScheme.js", "JavaScript", 92, 0, 9, 21, 122
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\MusicManagement.js", "JavaScript", 432, 0, 86, 92, 610
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\NoteSelector.js", "JavaScript", 165, 0, 60, 47, 272
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\OptionsWindow.js", "JavaScript", 189, 0, 36, 38, 263
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\PlayModeManager.js", "JavaScript", 614, 0, 169, 159, 942
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\RTestFingerCollision.js", "JavaScript", 83, 0, 237, 47, 367
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\RotateIt.js", "JavaScript", 17, 0, 5, 5, 27
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\SettingsWindow.js", "JavaScript", 210, 0, 20, 52, 282
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\SimpleMessageBox.js", "JavaScript", 23, 0, 4, 5, 32
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\SongFileSelectionWindow.js", "JavaScript", 108, 0, 10, 23, 141
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\SoundFontSelectorPanel.js", "JavaScript", 101, 0, 12, 20, 133
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\SoundFontSupport.js", "JavaScript", 315, 0, 211, 82, 608
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\SpringMovement.js", "JavaScript", 39, 0, 8, 14, 61
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\TestModeSequencePlayer.js", "JavaScript", 100, 0, 12, 20, 132
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\ThreeDControl.js", "JavaScript", 166, 0, 41, 31, 238
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\TypeScriptTest.ts", "TypeScript", 0, 12, 5, 6, 23
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\UI_Button.js", "JavaScript", 425, 0, 383, 84, 892
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\UI_SimpleButton.js", "JavaScript", 141, 0, 16, 24, 181
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\UI_SimpleButtonDual.js", "JavaScript", 58, 0, 8, 12, 78
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\VirtualKeyboard.js", "JavaScript", 268, 0, 42, 49, 359
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\VrFingerCollisionDetection.js", "JavaScript", 60, 0, 11, 11, 82
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\custom-interactive.js", "JavaScript", 29, 0, 8, 8, 45
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\custom-interactive_TS.ts", "TypeScript", 0, 12, 5, 6, 23
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\generate-buttons.js", "JavaScript", 163, 0, 45, 49, 257
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\handCopy.js", "JavaScript", 33, 0, 39, 22, 94
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\index.js", "JavaScript", 125, 0, 22, 13, 160
"c:\Users\pc\Documents\GitHub\Musica11y_1_2\Musica11yApplication\js\loadsave.js", "JavaScript", 591, 0, 85, 104, 780
"Total", "-", 6001, 24, 1997, 1415, 9437
